"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45935","Отсутствие перевода без Confirm","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferWithoutConfirm"
"","17691","testTransferWithFraudCheckVerificationRequired(FraudCheckResponse)","","2026-07-26","passed","2026-07-26","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationRequired"
"","53001","Перевод на чужой счёт","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanTransferMoneyToOtherAccounts"
"","1573","adminCanNotCreateUserWithInvalidData(String, String, String, List) [3] username = ""EEV%"", password = ""LOYxxb340!%#@"", errorKey = ""username"", errorValue = [Username must contain only letters, digits, dashes, underscores, and dots]","","2026-07-26","passed","2026-07-26","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1672","adminCanNotCreateUserWithInvalidData(String, String, String, List) [5] username = ""nPzzJqJIkX"", password = ""j"", errorKey = ""password"", errorValue = [Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-07-26","passed","2026-07-26","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","36278","Трансфер невалидной суммы на свой существующий счёт [1] transferAmount = -1, message = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferInvalidAmountBetweenAccounts"
"","63510","Отсутствие перевода с некорректным Amount [2] transferAmount = 10001.0, message = ""Transfer amount cannot exceed 10000""","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanNotRepeatTransferWithInvalidAmount"
"","20582","Перевод с чужого аккаунта на свой","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferFromNeSvoyAccount"
"","13606","Отсутствие перевода между счетами при недостаточности средств у отправителя","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferInsufficientMoneyBetweenAccounts"
"","15793","Депозит валидной суммы на свой существующий счёт [2] amount = 4999.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanDepositExistAccount"
"","18073","userCanLoginWithCorrectDataTest()","","2026-07-26","passed","2026-07-26","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","53470","Отображение истории транзакций между своими счетами","","2026-07-26","passed","2026-07-26","","iteration2.ui.TransferAgainTest","iteration2.ui.TransferAgainTest","userCanSearchTransactionBetweenOwnTransfers"
"","28916","Ввод имени пользователя на невалидное значение [1] newName = ""ДжыЛЁ РъгНК урябЙ""","","2026-07-26","passed","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanNotSetInvalidName"
"","38891","Депозит валидной суммы на свой существующий счёт [2] amount = 4999.0","","2026-07-26","passed","2026-07-26","","iteration2.ui.AccountDepositTest","iteration2.ui.AccountDepositTest","userCanDepositToExistAccount"
"","15194","Отсутствие перевода на несуществующий счёт","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferToNotExistsAccounts"
"","20228","Трансфер невалидной суммы на свой существующий счёт [1] transferAmount = -1, errorMessage = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferInvalidAmountBetweenAccounts"
