"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23637","Депозит валидной суммы на свой существующий счёт [2] amount = 4999.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanDepositExistAccount"
"","18166","testTransferWithFraudCheckVerificationRequired(FraudCheckResponse)","","2026-07-26","broken","2026-07-26","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckVerificationRequired"
"","36046","Перевод между своими счетами [2] transferAmount = 9999.0","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanTransferMoneyBetweenAccounts"
"","21642","testTransferWithFraudOtherReason(FraudCheckResponse)","","2026-07-26","failed","2026-07-26","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudOtherReason"
"","9849","userCanGenerateAuthTokenTest()","","2026-07-26","passed","2026-07-26","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","36618","testTransferWithFraudCheckApproved(FraudCheckResponse)","","2026-07-26","failed","2026-07-26","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckApproved"
"","13772","Отсутствие перевода на несуществующий счёт","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferToNotExistsAccounts"
"","3310","adminCanCreateUserWithCorrectData()","","2026-07-26","passed","2026-07-26","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","24066","Депозит на чужой счёт","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanNotDepositOtherAccount"
"","79991","Повторный перевод на свой счёт","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanRepeatTransferToOwnAccount"
"","51939","Ввод имени пользователя на невалидное значение [4] newName = ""54952 32342""","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanNotSetInvalidName"
"","44801","Изменение имени на то же самое","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","changeTheSameName"
"","20105","Депозит невалидной суммы на свой существующий счёт [3] amount = 5001.0, errorMessage = ""Deposit amount exceeds the 5000 limit""","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanNotDepositExistAccountWithBadValue"
"","41293","Трансфер невалидной суммы на свой существующий счёт [1] transferAmount = 0, message = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferInvalidAmountBetweenAccounts"
"","36352","Депозит невалидной суммы на свой существующий счёт [2] amount = -1, alert = ""❌ Please enter a valid amount.""","","2026-07-26","passed","2026-07-26","","iteration2.ui.AccountDepositTest","iteration2.ui.AccountDepositTest","userCanNotDepositExistAccountWithBadValue"
"","54030","Ввод имени пользователя на невалидное значение [1] newName = ""Ячюку ццЖдШ юкбКТ""","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanNotSetInvalidName"
"","46947","Депозит валидной суммы на свой существующий счёт [3] amount = 5000.0","","2026-07-26","passed","2026-07-26","","iteration2.ui.AccountDepositTest","iteration2.ui.AccountDepositTest","userCanDepositToExistAccount"
"","22721","Депозит валидной суммы на свой существующий счёт [3] amount = 5000.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanDepositExistAccount"
"","18014","Перевод между своими счетами [1] transferAmount = 1.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanTransferMoneyBetweenAccounts"
"","60146","Отмена повторного перевода","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanCancelRepeatTransfer"
"","20727","Невозможность изменения имени пользователя на невалидное значение [1] name = ""ГымвЙ зЩВДЬ тЖОют""","","2026-07-26","passed","2026-07-26","","iteration2.api.ChangeNameTest","iteration2.api.ChangeNameTest","userCanNotUpdateInvalidName"
"","35478","userCanCreateAccountTest()","","2026-07-26","passed","2026-07-26","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","43860","Отображение истории транзакций между своими счетами","","2026-07-26","passed","2026-07-26","","iteration2.ui.TransferAgainTest","iteration2.ui.TransferAgainTest","userCanSearchTransactionBetweenOwnTransfers"
"","42697","Отображение истории перевода на чужой счёт","","2026-07-26","passed","2026-07-26","","iteration2.ui.TransferAgainTest","iteration2.ui.TransferAgainTest","userCanSearchTransactionBetweenOtherTransfer"
"","57432","Отсутствие перевода с некорректным Amount [2] transferAmount = -1, message = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanNotRepeatTransferWithInvalidAmount"
"","23474","Депозит невалидной суммы на свой существующий счёт [2] amount = -1, errorMessage = ""Invalid account or amount""","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanNotDepositExistAccountWithBadValue"
"","34769","Отсутствие перевода на несуществующий счёт","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferToNotExistsAccounts"
"","43970","Ввод имени пользователя на невалидное значение [2] newName = ""xmMwu ItZmv PdDbG""","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanNotSetInvalidName"
"","23672","testTransferWithFraudCheckManualReviewRequired(FraudCheckResponse)","","2026-07-26","failed","2026-07-26","","iteration2.api.TransferWithFraudCheckTest","iteration2.api.TransferWithFraudCheckTest","testTransferWithFraudCheckManualReviewRequired"
"","56249","Отсутствие перевода с некорректным Amount [1] transferAmount = 0, message = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanNotRepeatTransferWithInvalidAmount"
"","19718","Депозит валидной суммы на свой существующий счёт [1] amount = 1.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountDepositTest","iteration2.api.AccountDepositTest","userCanDepositExistAccount"
"","3107","adminCanNotCreateUserWithInvalidData(String, String, String, List) [4] username = ""dZPAnLgHTf"", password = null, errorKey = ""password"", errorValue = [Password cannot be blank]","","2026-07-26","passed","2026-07-26","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","24055","Трансфер невалидной суммы на свой существующий счёт [1] transferAmount = 0, errorMessage = ""Invalid transfer: insufficient funds or invalid accounts""","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanNotTransferInvalidAmountBetweenAccounts"
"","12893","Невозможность изменения имени пользователя на невалидное значение [3] name = ""DUYUm39418 TZsGI14619""","","2026-07-26","passed","2026-07-26","","iteration2.api.ChangeNameTest","iteration2.api.ChangeNameTest","userCanNotUpdateInvalidName"
"","44201","Не активность кнопки Send Transfer без подтверждения деталей","","2026-07-26","passed","2026-07-26","","iteration2.ui.RepeatTransferTest","iteration2.ui.RepeatTransferTest","userCanNotRepeatTransferWithoutConfirm"
"","52155","Ввод имени пользователя на невалидное значение [3] newName = ""jCxdy36230 qTZAQ34849""","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanNotSetInvalidName"
"","46142","Отсутствие перевода без выбора аккаунта отправителя","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferWithoutSenderAccount"
"","36303","adminCanLoginWithCorrectDataTest()","","2026-07-26","passed","2026-07-26","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","53389","Изменение введённого имени пользователя на валидное значение [1] newName = ""usTZo saQGR""","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanUpdateValidName"
"","50287","Перевод без Recipient Name","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferWithoutRecipientName"
"","54713","Изменение имени на пустое","","2026-07-26","broken","2026-07-26","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","changeToEmptyName"
"","33510","Депозит невалидной суммы на свой существующий счёт [3] amount = 5001.0, alert = ""❌ Please deposit less or equal to 5000$.""","","2026-07-26","passed","2026-07-26","","iteration2.ui.AccountDepositTest","iteration2.ui.AccountDepositTest","userCanNotDepositExistAccountWithBadValue"
"","53572","Депозит валидной суммы на свой существующий счёт [2] amount = 4999.0","","2026-07-26","passed","2026-07-26","","iteration2.ui.AccountDepositTest","iteration2.ui.AccountDepositTest","userCanDepositToExistAccount"
"","17074","Перевод между своими счетами [3] transferAmount = 10000.0","","2026-07-26","passed","2026-07-26","","iteration2.api.AccountTransferTest","iteration2.api.AccountTransferTest","userCanTransferMoneyBetweenAccounts"
"","48208","Отсутствие перевода без Recipient Account Number","","2026-07-26","passed","2026-07-26","","iteration2.ui.NewTransferDepositTest","iteration2.ui.NewTransferDepositTest","userCanNotTransferWithoutRecipientAccountNumber"
